_id,address,addressname,transactioncount,internaltxcount,addresstype
637605b42ae825a9f8877251,0x0a5e4618d91c9ba77349c4064a04792a35a56b42,CN:Everrich 1,521,660,Contract
637605b42ae825a9f8877252,0x0b59cae1f03534209fdb9ddf5ea65b310cd7060c,GC:FSN,4,0,Consensus Node
637605b42ae825a9f887725e,0x1916ce6726e73dca6242b091322f68bbf520497b,CN:Kakao Games,164,262,Contract
637605b42ae825a9f8877262,0x1cf36ee02ab5b56a51c1fcddc84e0873fdebc812,CN: Swapscanner,11,24,Contract
637605b42ae825a9f8877265,0x1f604ab080123fe49ccf67d3e4d952f9cd76257d,CN:Ahnlab 1,21,39,Contract
637605b52ae825a9f887727e,0x4c1da9c8583aaee0ab9fecd7d5e9a1b559114202,Reward: Kakao Space 3,5,4,External Owned Account
637605b52ae825a9f887727f,0x4c921e2b4ac183b9b8ab32805ef4da8d59d49eae,GC: Swapscanner,4,0,Consensus Node
637605b52ae825a9f8877280,0x4fd849eb61bbef4d71352831a1cbddcb1fd98261,CN:Kracker Labs,36,1493,Contract
637605b52ae825a9f8877281,0x5216670c7f5624eeb8efc1e56f2cb075a9ce8452,Reward: Kracker Labs,2,916,Contract
637605b52ae825a9f8877282,0x52c0f3654e9ac47ba5e64ffcb398be485718a74b,GC: AQX,5,0,Consensus Node
637605b52ae825a9f8877290,0x664950481f0ba5f799ba3ab36fb26b294997158d,CN: Hi Inc,8,23,Contract
637605b52ae825a9f8877293,0x68d6ec675e0879e2098d25a4e45ec8a620c6a90a,Cypress,0,1,Contract
637605b72ae825a9f88772bf,0xbc8d2fd8c2ab4b76306d9d8b9f5721b13f239220,Reward: Kakao Space 2,4,26,External Owned Account
637605b92ae825a9f88772dd,0xe5d0ef77aed07c302634dc370537126a2cd26590,Alameda Research 8,17,15,External Owned Account
637605b92ae825a9f88772e1,0xeb41033d99570fcd11021081e0bec43a8d694bf8,CN: Thrust,12,6810,Contract
637605ba2ae825a9f88772e3,0xec6c1cede510be308f0fdbbc8dbdf238829bdb34,GC:Wemade 1,4,0,Consensus Node
637605ba2ae825a9f88772e4,0xed0e18f99b684009fcf44c80e471717335ac49c9,ClaimSwap Deployer,1647,1563,External Owned Account
637605bb2ae825a9f887730b,0x24e593fb29731e54905025c230727dc28d229f77,Reward: Hanwha Systems,16,25,External Owned Account
637605bb2ae825a9f887730d,0x2a2f23ff33671361010d357529bdf0adca9416fc,Pangea Deployer,715,712,External Owned Account
637605bb2ae825a9f887730e,0x2b2a7a1d29a203f60e0a964fc64231265a49cd97,Reward: Ahnlab,165,178,External Owned Account
637605bb2ae825a9f887730f,0x2dab13877237aa5d83c45a245b0107904d3165f6,Reward: Kakao Corp 2,4,0,External Owned Account
637605bb2ae825a9f8877312,0x322ec78cc94b04410ac43c2c8da7013a294bae3d,KlayCity Deployer,17784,17081,External Owned Account
637605bc2ae825a9f8877328,0x662a2c18b36b06f21105b019a8795f8d5a38b5b4,Reward:Jump Crypto-Everstake2,12,1556,External Owned Account
637605bd2ae825a9f8877342,0xa7742fc43c4cc193a4a1671cba589aa3c4133f7c,Reward: LX International,25,14,External Owned Account
637605bd2ae825a9f8877343,0xa7886fbc6d33dd19c090fd48337a409941f75e1f,Reward: Kracker Labs3,3,8964,Contract
637605bd2ae825a9f8877346,0xb0a83941058b109bd0543fa26d22efb8a2d0f431,Orbit Bridge BSC Minter,108101,884652,Contract
637605be2ae825a9f887736b,0xf786c3720a10cb48c8f12d0ac2086dcf227c7cde,Reward: Wemade,44,10,External Owned Account
637605be2ae825a9f8877370,0xfb416e2a714a5d1e034beacf0646a36876b72765,GC:Alameda Research,3,0,Consensus Node
637605be2ae825a9f8877371,0xfb9054bc52639579ba694fb3ac00259f561841ce,Reward: UBP 2,28,19,External Owned Account
637605be2ae825a9f8877372,0xfc0b19569867a6a9324b65fecb6f1b43bb16ccf3,MulticallExtended,0,1,Contract
637605bf2ae825a9f8877373,0xfc2a7ec29143621c7e0e651ee2bca428a95c7af4,Reward: Wemade 2,239,238,External Owned Account
637605bf2ae825a9f8877374,0xfc37e31fe3b1019f5be58cb826e5d7b08f9b2e35,Reward: KrossLab,4,0,External Owned Account
637605bf2ae825a9f8877375,0xfda6aaaf53d706eb2099c5637d5e4199dd5d4138,CN:Hashed-Ozys,28,10776976,Contract
637605c12ae825a9f8877385,0x0c41cce8ddaea235f97745a13207421dca7340fa,Reward: Verichains/VNG,9,25,External Owned Account
637605c12ae825a9f8877388,0x0edf1992d42740affd07da51badc1c76e98a5585,CN:MakerDAO,17,34,Contract
637605c12ae825a9f8877399,0x1ee5cd9875011a11558c92e7406fcf08ffa0b7f4,CN:Wemade 1,37,60,Contract
637605c12ae825a9f887739b,0x2222222ff003b62605ca622a9daab160497e95ba,Giveaway,136,35069,Contract
637605c12ae825a9f887739e,0x24f55a6f46f126aa7209c882c275fedb6c108164,KLAY Genesis 2,2,2,External Owned Account
637605c12ae825a9f88773a0,0x2968c66f14308673c12812febfa58cfe87c4e5a8,Coinone 1,1197639,199288,External Owned Account
637605c22ae825a9f88773ae,0x41cff281b578f4cf45515d6e4efd535e47e76efd,OpenSea2,657944,3787381,Contract
637605c32ae825a9f88773ce,0x5f1dbd747996d8d31e2ab0317be7ffffd155522a,Reward: Kakao Entertainment,16,26,External Owned Account
637605c42ae825a9f88773f1,0x86d2660297c82ac656715e00c979fb5ca65eecc5,Binance 1,1874377,3949,External Owned Account
637605c42ae825a9f88773f2,0x87102d7d4e813f08c1bb4fbbe513c1f8c4df24a1,AirdropOperatorDeployer,30,61,Contract
637605c42ae825a9f88773f3,0x8a88a093c05376886754a9b70b0d0a826a5e64be,GC:Yeahmobi,3,0,Consensus Node
637605c52ae825a9f88773f4,0x926601ab01b1a70ec84af781aeca5e71575e08e8,Klap Deployer,5606,5581,External Owned Account
637605c52ae825a9f88773f5,0x942a8d56c6330578b1e856c1c972a1ce621ff1c4,Reward: Celltrion,17,39,External Owned Account
637605c52ae825a9f8877402,0xa8f51f43d6d19bdf0eb7df5e279c8058a64d20e4,CN:Kakao Space,51,79557,Contract
637605c52ae825a9f8877403,0xac7f6f8a63733877a78917dc798ed7693095be7b,Reward: Korea Economic Daily,4,15216259,Contract
